c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C(CC)CNC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCC)N)O	CCCC[C@@H](N)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)OC	CCCC[C@H](NC(=O)N[C@@H](CC(=O)N[C@@H]1CCCNC(=O)O)C(=O)O
c1c(CC)c(ccc1)[C@H]1CC2N(CCCC2CN1)S=O	COc1ccc2[C@H]3C[C@H]4[C@@H](CCCN4S(=O)(=O)C)CN3CCc2c1	CCCc1c(CC2CCN3CCC[C@@H]4SC(=S)(C)(C)(C)C)c2c2)cc1
C(=C)/C=C\CCn1c(c(C#N)c2cc(ccc12)Oc1ccc(N)cc1)N	NCC(=O)Nc1ccc(Oc2ccc3n(Cc4ccccc4)c(N)c(C#N)c3c2)cc1	NC(=O)c1ccc(cc1)c1cccccccccccccccccccccccccccccccccccccccc
NCc1ccc(cc1/C=C/C=C\C=C\C/N=C/C/C=C\C=C/CC#N)Cl	Clc1ccc2c3[nH]c(nc3c3ccccc3c2c1)c1c(cccc1C#N)C#N	CN1CCc2c(nc(c3cccc(cccccccccccccccccccccccccccccccc
C/N=C/NCC/C(=C\C)/NC(=O)C(C)(C)C	CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1	CC(C)(C)c1ccc(ccccccccccccccccccccc
C(=C)(C(F)F)/C=C\C=C\NCCC(=O)O	OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F	OC(=O)C1CCcc((ccccccccccccccccccc)c
[C@H]1(CCC(=O)C1)[C@H](C)[C@@H]([C@]1(C)C=CC(=O)C=C1)CC	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
O1CCN(CCNC(=O)C(=C)/C=C\CC(=N)CCC=C)CC1	O=C(NCCN1CCOCC1)c1ccc(cc1)c1nccc2ccccc12	O=C(Nccccc1ccccccccccccccccccccccccccccccc
Clc1cccc(Cl)c1C1=C(N(C=NC1)N)/C=C\CS/C(=C/C=C)/C(=C)F	Fc1ccc(Sc2ccc3c(c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1	NC(=O)c1cccc(c1)c1ccc(cccccccccccccccccccccccccccccccccccc
N=C/N=C\1/N(C=C(C1=C)Cc1cncc(n1)NCCC(=C)C)C(C)C	CC(C)n1cc(C(=O)c2cncc(NCCc3cccnc3)n2)c2c(N)ncnc12	CC(C)c1ccc(cccccccccccccccccccccccccccccccccccccc
C/C=C\C=C(\N)/CC(=N)[C@H](C(=N)N(N=C)C)Cc1ccc(cc1)F	Cn1ncnc1[C@@H]1[C@H](Nc2cc(F)cc3c2c1n[nH]c3=O)c1ccc(F)cc1	C[C@@H](Nc1ncnc2c(NC(=O)c3ccc(F)cc3)nc2c1)c1ccccc1
C(=O)(CC)NC/C=C\C(=C/C)\N(C)CC(=C)/C=N\C=C	CCC(=O)Nc1ccc(cc1C(=O)O)N(C)Cc1cccnc1	CC(C)Cc1ccccccccccccccccccccccccccccccccc
C/C=C\CCNC(=O)c1ccc(cc1)S(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1cccccc1
C/C=C(\C=C)/C(=O)C1=CC=CCCCN1	OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1	CC(=O)C1=C(CCc1cC=C)ccccccccccccc
CCN(/C(=C/CNCC1[C@@H](CN(C1)Cc1ccccc1)C)/N)N	CC(C)n1ncc2c1nc([nH]c2=O)[C@@H]1CN(Cc2ccccc2)C[C@H]1C	C[C@@H]1CCCN(CC1C(=N)NC(=O)c1ccc(cccccccccccccccccccccccccc
C/C=C(\C(=C/C)\CN/C(=C/C=C)/N)/N(C)C	CN(C)c1ccccc1CNc1ccc(cn1)C(=O)N	CN(C)c1ccccc1cccccccccccccccccc
c1ccc(C(c2ccccc2)(/C(=C/C=C)/C)SC[C@@H](C=O)N)cc1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
C(=C)(/C=C/C1C(c2ccc3c(C(C)CCC3(C)C)c2)C1)C	C/C(=C/C(=O)O)/C=C/C1CC1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1CC1)C(=O)c1ccCc2c(C)cc(C)cC2C1
O(C(CC)C)/C=C(/C(=C\C)/C=C/C/C=C(/C(=N)N)\C=C)\O	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(OC2CCCC2)c1[O-]	CCOC(=O)c1c(C)nc(NC(=O)c2ccccccccccccccccccc
C(=O)[C@H](CCCO)NCCCCCCCc1cc2c(=O)[nH]cnc2[nH]1	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCCCCCCCCCCCCCCCCCCC)CCcc()cccccccccC
c1(n(c(nn1)SCCOc1ccccc1)C)CNCC(=C)/C(=C\C)/C(F)F	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
C1(CCCCC1)C[C@@H](C)NC(=O)NC[C@@H](CC)[C@@](O)(CCCCOC)c1cccc(c1)Cl	CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@H](C1)[C@@](O)(CCCCOC)c1cccc(Cl)c1	COCCC[C@H](NC(=O)CCCCCCCCCCCCCC@C(C(C(CCCCCCCCCcC()ccCCCCCCcCcccccc)OC
C(N)/C=C/C=C(\N)/NCc1c(cccc1)N(CC)CC	NC(=O)c1ccc(NCc2ccccc2N2CCOCC2)nc1	NCC1CN(CC1)c1ccccccccccccccccccccccccccccc
C(=N\C[C@@H](C)NC(=O)CCCNC/C=C/C=C\C=C)\C=C/C	C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccn1	C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1cccc(O)c1
C/C=C\C/C=C/C(=C\C(=C)C(C)C#C/C(=C/N)/C(=N\CN)/N)/OC	COc1cc(cc(c1)c1ccccc1)C(C)C#Cc1c(C)nc(N)nc1N	COc1cc(Nc2nccc(n2)c2cc(ccccccccccccccccccccccc1c
C=C/C=C(/C(=O)NCc1nc(c2n(n1)ccc2)NCN/N=C/C1CC1)\C	Fc1ccc(cn1)C(=O)NCc1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1	Cc1cccccccccccccccccccccccccccccccccccccccccccccccccccccc
c1(ccncn1)[C@H](C)C(C(=C)/C(=C\CF)/F)Cn1ncnc1	C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	C[C@H](Cn1cnc2c(N)nc(N)c12)c1c(Cc2cc(F)ccc2F)cc1
c1c(cccc1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F	OC(=O)COc1c(F)c(cccc))(c(c(cc(c(cc(cc(ccccccccccc()cc)c)c)
O=C(NCC)C(=O)NC1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C	OC[C@H]1O[C@@H](NC(=O)C(=O)NC2CC2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)NC(=O)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
c1(C2=CC/C(=C\C=C/C)/N2)cccc(n1)C1CCCCC1	NC(=N)c1ccc2[nH]c(cc2c1)c1cccc(n1)C1(O)CCCCC1	NC(=O)c1cccccccccccccccccccccccccccccccccccc
C(=C\CBr)\C(=C)C(=O)NC1(C(=O)NCC#N)CCCCC1	Nc1cc(Br)ccc1C(=O)NC1(CCCCC1)C(=O)NCC#N	OC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCcCccccccccccCCC
OCCN(C)CCCOC1=C/C(=N/C)/C(=C/NC/C=C(/Cl)\C(=C)Sc2nccn2C)/C=C1OC	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(cnc2cc1OCCCN(C)CCO)C#N	COc1cc2nc(c3nccs3)n(Cc3cc(Cl)ccc4Cl)c(=O)n(C)c3n2)cc(Cl)c1OC
C(=C\C=C(\Cl)/C)/N=C(\N)/CNCC(=O)O	OC(=O)CNC(=O)c1nc2cc(Cl)c(Cl)cc2[nH]1	OC(=O)Cc1cnc2c(N)nc(N)c(C#N)c2c1
NCCCOc1ccc(cc1)/C(=C/C=C)/C	ONC(=O)CCOc1ccc(cc1)c1ccc(cc1)C#N	NC(=O)CCc1cccccccccccccccccccccc
C[C@@H](CNCc1ccncc1)O[C@@H](N(C(=O)/N=C\C)C)CO	Nc1ccn([C@@H]2O[C@H](CNC(=O)c3ccncc3)[C@@H](O)[C@H]2O)c(=O)n1	C[C@@H]1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)n1cc(nn1)c1cccnc1
C/C=C\C=C/C/C=C(\C)/C(=C/N=C(N)N)/C	Cc1c(ccc2nc(N)nc(N)c12)c1ccccc1	Cc1cccccccccccccccccccccccccccc
FC(F)(F)CN(CC(F)(F)F)/C/1=C/C=C/NC/C=C\C=C1	FC(F)(F)CN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(c2c1)C(F)(F)F	FC(F)(F)c1ccccc1C(=C(NC(C)(c1)C(F)(F)F)c1ccc(F)cc1
N(=C\C)\C=C(\C)/CCS(=O)(=O)NCCCN	O=S(=O)(N1CCCNCC1)c1cccc2cnccc12	NS(=O)(=O)NCCCCCCCCcCccccccccccccccc
C(=O)C(C)NCC(=C)/C(=C(\C=C)/C(F)F)/Cl	CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C=O	CC(=O)c1cccccccccccccccccccccc)c))Cc
C/C=C\C=C(/C)\COC(Cn1cncc1)/C(=C/C)/C	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	NC(=O)c1ccccccccccccccccccccccccccccc
c1c(c(nc(c1Oc1ccnc(Nc2cc(O)c(cc2)OC)c1)c1ccccn1)C)C	COc1cc(Nc2cc(Oc3cc(C)c(C)nc3c3ccccn3)ccn2)cc(OC)c1OC	COc1cc(Nc2ncc3ccn(c4ccccc4)c(C)c(C)c3c2)cc(OC)c(OC)c(OC)c1OC
NO/N=C(\CN)/CN1CCN(CC1)CCN=C	Nc1nonc1C(=O)N1CCN(Cc2ccccn2)CC1	Nc1nc2nc(cnc2c(=O)[C@@H]1CC1=NOC(=O)N1
C(=C\C)(/C=N/N/C(=N\N=C)/c1cc(ccc1)NC(=O)C)\C=C	CN(C(=O)C)c1cccc(c1)c1nnc2ccc(nn12)c1ccccc1	Cc1cccccccccccccccccccccccccccccccccccccccccc
C=C(Cl)/C=C(/C(=C)OC(CCCC)C)\C(=C)NC=O	CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O	CC(C)c1c(C(C)Cc2c(C)ccccCcCC)CccccccccC)
C(Cl)/C=C\C(=C)C(=O)n1c(c(CC)c2ccccc12)C	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1	CC1=CC(C)ccccccccccccccccccccccccccccccc
C=C(Cl)/C=c\1/cc([nH]c1=C)CNCCOCCOCCNCc1[nH]c2c(c1)cc(cc2)Cl	Clc1ccc2[nH]c(cc2c1)C(=O)NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1	Clc1ccc2[nH]c(cc2c1)C(=O)NCCC(C)(C)Cc1cc(OC)ccc1cccccccccccc
C(C(=O)Nc1ccccc1)CNC(=O)NCCOC(=C)/C=C\CCC(C(=O)O)C(=O)O	Cc1nc2ccc(NC(=O)CCNC(=O)NCCOc3ccc(CC(C(=O)O)C(=O)O)cc3)cc2s1	OC(=O)CC[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(cc1)C(=O)O
C=C/C=C/S(=O)(=O)c1ccc(cc1)CNC(=O)C1=CN/C(=C\C=C)/C=C1	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3cccn3c2)cc1	OC1=C(Sc2ccccc2c1)S(=O)(=O)c1cccc(NCc2ccccccccccccccc
C1(=C(CC[C@H](C1)C(=O)O)C)NC	OC(=O)[C@@H]1CCc2c(C1)[nH]c1ccc(Cl)cc21	C[C@]1(CC(=O)C(=O)[C@@H](CC(=O)O)[C@H]1O
C(=C\1/C(=N)C(=CCC1)N(CCO)N=C)/N=C/Nc1c(ccc(c1)NCCNCC)OC(F)F	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(=O)N)c1	CC(NC(=O)c1ccccc1Cccccccccccccccccccccccccccccccccc)c))c)c)c)c)c)c)
c1c(c(cc(c1N(C)C(=C)/C(=C\C/C=N\C(=N/CN)\N)/Cl)N)C)C	Cc1cc2nc(c3nccs3)n(c3cc4nc(N)nc(N)c4cc3Cl)c2cc1C	Cc1nc(c(n1)c1cc(NCCNc2ccc(cn2)C(F)(F)F)cc1Cl
C=C/C=C/Cc1c(c(=O)[nH]c(=O)n1COCC)C(C)C	CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O	CC(C)c1cc(Cc2cccccccccccccccccccccccccccc))
C12C(NCN1)CS[C@H]2CCCCCc1cn(CCCCn2c(=O)oc3ccccc23)nn1	Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1	Nc1nc2[nH]c(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccccccccccccccccccccccccccc
CCNC(=O)/C=C\c1cc2CCCCCCNc2cc1	CCn1c2cc3N[C@@H]4CCCC[C@@H]4c3cc2c(cc1=O)C(F)(F)F	O=C(NCCCCCC1CN(CC1)C(=O)c1ccccccCcccccccccC
C1/C(=C/CSN/C(=C/C=C(/Cl)\C)/C)/C(=C\C)/CCN1	OCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc1ccc(Cl)cc1	Cc1cccc(c1c1ccc(C=O)ccccccccccccccccccccc
c12c(cc(cc2)Br)C(=CNc2ccc(cc2)CN(C)C)C(=O)NC1	Brc1ccc2C(=O)NC(=O)C(=CNc3ccc(CN4CCCC4)cc3)c2c1	CN1CCN(CC1)C(=O)c1ccccccccccccccccccccccccccccccccccc
c1(/N=C\N)ccc([nH]1)CCCCC/C=C\C(=C/C)\C(=O)N[C@@H](CCC(=O)O)C(=O)O	Nc1nc2[nH]c(CCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	OC(=O)[C@H](Cc1ccc(cc1)C(=O)O)c1ccc2c(c1)[C@H](CCC(=O)C)Cc(OccccCcccc
c1cc(OC)c(C(=C)/C(=C\C/C=N\C(=N)N)/C)cc1C=O	CCOc1ccc(C=O)cc1c1cc2nc(N)nc(N)c2cc1C	COc1cccccccccccccccccccccccccccccccccccc
N1(S(=O)(=O)C/C=C(\C(=C/C)\OCC)/c2nc(c(N(N)C)c(=O)[nH]2)CC)CCN(C)CC1	CCCc1nn(C)c2c1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1	COc1cc2nc(c3nCc3c(sc3n(C)c3c(=O)[nH]c(=O)[nH]3)c(=O)[nH]2)c(=O)[nH]c1=
O=C(N)C/C=C(\C=N)/C(=C)SCNC/N=C\C=C(/C)\N1CCOCC1	NCCNC(=O)c1cncc(c1)c1cnc(Nc2cc(ccn2)N2CCOCC2)s1	NC(=O)c1ccc(Nc2nccccccccccccccccccccccccccccccccc)c)c)
N=S/C=C/C=C(/N1CCN(C[C@@H]1C#CC)S(=O)(=O)c1ccc(N)nc1)\C=C	CC#C[C@H]1CN(CCN1c1ccc(cc1)[S@](=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC(C)CCCcCCcCccccccccccccccccccccccccc)()cc()cc)c)c()ccc)c)c)c)c)c)c)c
OP(=O)(O)OP(=O)(OCC(C)OC(C)n1cnc(c1)/C(=N\C=N)/N)O	Nc1ncnc2n(cnc12)C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	CC(C)(C)c1cn([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)n1
C=C/C=C\C=C(/O)\CCNCC(=O)O	OC(=O)CNC(=O)c1ncc2c(I)cccc2c1O	OC(=O)Cc1c([nH]c2c(Cl)cccc12)C(=O)O
C(CC)C(=N)N1/C(=C/C)/CNC(=N1)/C(=C/CS(=O)NCCN(CC)CC)/C(=C)OCC	CCCc1nc(C)c2n1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	CCCCCc(((ccccccccccccccccccccCCcCcCcCcCCcCcCCcCcCcCcCcCcCcc)cCCcC1c11
N/C(=C\c1cnc[nH]c1=O)/CCC/C=C/C(=C\S)/CN[C@@H](CCC)C(=O)O	Nc1nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCc3cc(cs3)C(=O)O)cc2c(=O)[nH]1)C(=O)N[C@@H](CCC(=O)O)C(
C1(=O)CC(CN1C1CCCCC1)CNc1cc(ccc1)Cl	Cc1ccc(Cl)cc1NC(=O)C1CN(C2CCCCC2)C(=O)C1	Clc1ccc(Cl)cc1)NC(=O)C1CN(C2CCCCC2)C(=O)C1
C(C(C(O)CO)n1cnc(C(=N)N)c1)C	Nc1ncnc2n(cnc12)C1CC(O)C(O)C1O	Nc1ncnc2n(cnc12)C1COC(CN)C(=O)O1
N(/C(=C/C=N\C)/C)/C(=N/C=N)/CN/C=C(\C)/C=C/C=C	N(c1ccncc1)c1ncnn2cc(cc12)c1ccccc1	Nc1nc(Nc2cccc(c2)c2cc3c(Nc4cccccc3)n2)cc1
C/C=C\C=C\CCCC(=O)N1[C@@H](CCC1)CN1CCCC1	O=C(CCCc1ccccc1)N1CCC[C@H]1C(=O)N1CCC[C@H]1C#N	O=C(N[C@H]1CC[C@@H]1CNC[C@@H]1Cc1ccccc1)c1cccc2ccccc12
c1ccc(/C(=C(\CN)/C(=N\C=N\C(=C)C(=O)N2CCOCC2)/C)/N)cc1	Cc1nc2nc(cn2c(c1CN)c1ccc(Cl)cc1Cl)C(=O)N1CCOCC1	NC(=O)c1ccc(Nc2nc(cn2ccccccccccccccccccccccccccccc
N=C(C)c1cccc(C(C)NC(=O)Nc2cc(c(cc2)Cl)C(=O)N)c1	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Cl)c(c1)C(=O)N	CC(=O)c1cccccccccccccccccccccccccccccccccccccccccccccccc))
c1c(Cl)c(c2noc(C(C)C)c2CO/C(=C/C=C/C/C=C(/SC)\CCC)/C)c(cc1)Cl	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(csc2c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(csc2c1)C(=O)O)c1c(Cl)cccc1Cl
Cl/C(=C/CCCCCO)/C(=C\C)/Cl	OC(=O)C1CC1C(=O)c1ccc(Cl)c(Cl)c1	OC(=O)Cc1c(Cl)cccc1OCCCCCCCCCC
C1[C@H](O)C2C(C1)[C@H]1[C@H](CC2)CCCCCCCC1	C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O
C(=C\C(=C/C)\C(C)CNCC/C=C\C)\C	O=C(N[C@H]1C[C@@H]1c1ccccc1)c1ccc(cc1)C#N	CC(=O)C1=C(CC1)C(=O)c1ccccc1ccccccc
c12N=C(NCc1cccc2)CCC(=O)NCCc1ccccc1	COC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1nc2ccccc2c(=O)[nH]1	NC(=O)c1cccc(c1cccccccccccccccccccccccccccccccc
c1(C(F)(F)F)cccc(c1)N1CN[C@@H](C(=C1C)C(=O)C)/C(=C/C=C(/C)\N)/C	CC(=O)C1=C(C)N(C(=O)N[C@@H]1c1ccc(nc1)C#N)c1cccc(c1)C(F)(F)F	CC(=O)C1=C(C)N(C(=O)(C(=O)c1ccccccccccccccccccccccccccccccccccccc)c)
ON(=O)C/C(=C\CNCCCOc1ccc(F)cc1)/C(F)(F)F	C[C@](O)(COc1ccc(F)cc1)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]	OC(=O)C1CC(NC(c1cccccccccccccccccccc()cc)c)))O))O)
N(C)/C=N/C(=N\C(=C)N/C(=C/C=C)/C=C)/C#N	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	Cc1nc(c(cn1)c1cccccccccccccccccccc
OCCO[C@@H](N1/C(=C/CCl)/CN=C1)CCO	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2cc(Cl)c(Cl)cc12	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cc(Cl)c(=O)[nH]c1=O
C(=N\C=N/C(=C)N)/N(C1O[C@@H](C[C@H]1O)CNC)C(=N)C	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	NC(=N)N[C@@H]1C[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12
c1(O)cc(C[C@H](O)[C@H]([C@H](O)[C@H](O)C)O)ccc1	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)cc(Cl)c1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)cc1
FC(F)C1=CCNC(=C1)/C=C/1\CCC[C@H](N1)C	CC[C@H]1C[C@@H](C)Nc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CC[C@@H]1[C@H](C)CNc2cc(ccc2c1)C(c1c(F)cccc1F)[N+](=O)[O-]
C1=C(C(C2CCC(CCCCC2C)C)CCC1=O)C	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O	CC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
C1(=O)[C@H](C[C@@H]([C@H](N1CC1CC1)/C(=C/C)/C=C\C)c1ccccc1)CC(=O)O	OC(=O)C[C@H]1C[C@@H]([C@H](N(CC2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1	OC(=O)[C@H](CCCCCHCCCCCCCCCCCcccccccccccccccccccccccccccccccccccc))
O/C=C(\C=O)/C(=C)OC/C=C/C(=C)/C=C(\C(=C)F)/C(=C/C(=N)CO)/O	COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(c1)c1cc(no1)C(=O)O	OC(=O)c1cc(ccc1Oc1cccccccccccccccccccc(ccccc)c))c))c))
C(=C(\N)/C=C\C=C\S(=O)/C=C/C(=C\CC)/C)\C	Cc1cc(C)cc(c1)S(=O)(=O)c1cccc(N)c1C#N	Nc1cc(Cc2ccccc2c(c1cccccccccccccccccccccc
C(=C\C=C/CC#Cc1oc(C(=O)Sc2[nH]cnn2)cc1)\C	FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1	Cc1cc(Cccnc(cccccccccccccccccccccccccccccccccc
c1(ccccc1)C(c1ccccc1)CCNC(=O)C	O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1	O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1
OP(=O)C(P(=O)(O)O)(O)C/C=C/C=C	OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O	OC(Cc1ccc(cc1)c1ccccc()OP(=O)(O)OOOOO
OC/C=C/C=C(\C)/c1cc2cccnc2c(n1)C/C=C/N(=O)O	OC(=O)c1ccc(cc1)c1cc2cccnc2c(n1)c1cccc(c1)[N+](=O)[O-]	Oc1ccccccccccccccccccccccccccccccccccccccccccccc
