c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
C(CC)CNC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCC)N)O	CCCC[C@@H](N)[C@H](O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)OC	CCCCNC(=O)[C@H](C)[C@@H](O)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO
c1c(CC)c(ccc1)[C@H]1CC2N(CCCC2CN1)S=O	COc1ccc2[C@H]3C[C@H]4[C@@H](CCCN4S(=O)(=O)C)CN3CCc2c1	CCCc1c(c([nH]N1)C(=N)N)CC1CC1CCcccccc)c)))))c)
C(=C)/C=C\CCn1c(c(C#N)c2cc(ccc12)Oc1ccc(N)cc1)N	NCC(=O)Nc1ccc(Oc2ccc3n(Cc4ccccc4)c(N)c(C#N)c3c2)cc1	CN1Ccccccccccccccccccccccccccccccccccccccc
NCc1ccc(cc1/C=C/C=C\C=C\C/N=C/C/C=C\C=C/CC#N)Cl	Clc1ccc2c3[nH]c(nc3c3ccccc3c2c1)c1c(cccc1C#N)C#N	Cc1nc2ncccccccccccccccccccccccccccccccccccccc
C/N=C/NCC/C(=C\C)/NC(=O)C(C)(C)C	CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1	CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1nccs1
C(=C)(C(F)F)/C=C\C=C\NCCC(=O)O	OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F	OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
[C@H]1(CCC(=O)C1)[C@H](C)[C@@H]([C@]1(C)C=CC(=O)C=C1)CC	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O	CC(=C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
O1CCN(CCNC(=O)C(=C)/C=C\CC(=N)CCC=C)CC1	O=C(NCCN1CCOCC1)c1ccc(cc1)c1nccc2ccccc12	OC(=O)c1cccc(ccccccccccccccccccccccccc
Clc1cccc(Cl)c1C1=C(N(C=NC1)N)/C=C\CS/C(=C/C=C)/C(=C)F	Fc1ccc(Sc2ccc3c(c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1	Nc1c(c(N)nc(N)c1ccccccccccccccccccccccccccccccccccccccccccc
N=C/N=C\1/N(C=C(C1=C)Cc1cncc(n1)NCCC(=C)C)C(C)C	CC(C)n1cc(C(=O)c2cncc(NCCc3cccnc3)n2)c2c(N)ncnc12	CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCc3cccCccccccccccccc
C/C=C\C=C(\N)/CC(=N)[C@H](C(=N)N(N=C)C)Cc1ccc(cc1)F	Cn1ncnc1[C@@H]1[C@H](Nc2cc(F)cc3c2c1n[nH]c3=O)c1ccc(F)cc1	Cc1ccccc1n1nc(cc1cccccccccccccccccccccccccccccccccccFccccFc
C(=O)(CC)NC/C=C\C(=C/C)\N(C)CC(=C)/C=N\C=C	CCC(=O)Nc1ccc(cc1C(=O)O)N(C)Cc1cccnc1	CC(=O)C1ccc(NCccccccccccccccccccccccccccc
C/C=C\CCNC(=O)c1ccc(cc1)S(=O)N	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1F
C/C=C(\C=C)/C(=O)C1=CC=CCCCN1	OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1	O=C(c1ccccc1)c1cccccccccccccccccccccc
CCN(/C(=C/CNCC1[C@@H](CN(C1)Cc1ccccc1)C)/N)N	CC(C)n1ncc2c1nc([nH]c2=O)[C@@H]1CN(Cc2ccccc2)C[C@H]1C	CCNC(=O)[C@@H]1C[C@H](CN1C(=O)c1coc2ccccc12)NC(=O)c1cc(CC)nn1C
C/C=C(\C(=C/C)\CN/C(=C/C=C)/N)/N(C)C	CN(C)c1ccccc1CNc1ccc(cn1)C(=O)N	CN(C)c1ccccc1CNc1ccc(cn1)C(=O)N
c1ccc(C(c2ccccc2)(/C(=C/C=C)/C)SC[C@@H](C=O)N)cc1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
C(=C)(/C=C/C1C(c2ccc3c(C(C)CCC3(C)C)c2)C1)C	C/C(=C/C(=O)O)/C=C/C1CC1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1)c1ccc2c(c1)C(C)(C)CCC2(C)C
O(C(CC)C)/C=C(/C(=C\C)/C=C/C/C=C(/C(=N)N)\C=C)\O	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(OC2CCCC2)c1[O-]	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1cccc(OC2CCCC2)c1[O-]
C(=O)[C@H](CCCO)NCCCCCCCc1cc2c(=O)[nH]cnc2[nH]1	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
c1(n(c(nn1)SCCOc1ccccc1)C)CNCC(=C)/C(=C\C)/C(F)F	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
C1(CCCCC1)C[C@@H](C)NC(=O)NC[C@@H](CC)[C@@](O)(CCCCOC)c1cccc(c1)Cl	CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@H](C1)[C@@](O)(CCCCOC)c1cccc(Cl)c1	CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@H](C1)[C@@](O)(CCCCOC)c1cccc(Cl)c1
C(N)/C=C/C=C(\N)/NCc1c(cccc1)N(CC)CC	NC(=O)c1ccc(NCc2ccccc2N2CCOCC2)nc1	NCCNc1cc(CccccccccccccccCCCccccccccccccc
C(=N\C[C@@H](C)NC(=O)CCCNC/C=C/C=C\C=C)\C=C/C	C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccn1	C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccn1
C/C=C\C/C=C/C(=C\C(=C)C(C)C#C/C(=C/N)/C(=N\CN)/N)/OC	COc1cc(cc(c1)c1ccccc1)C(C)C#Cc1c(C)nc(N)nc1N	COc1cc(cc(c1)c1ccccc1)C()C#Cc1c(C)nc(N)nc1N
C=C/C=C(/C(=O)NCc1nc(c2n(n1)ccc2)NCN/N=C/C1CC1)\C	Fc1ccc(cn1)C(=O)NCc1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1	Cc1nc2ccccc2n1Cc1ccc(Ccccccccccccccccccccccccccccccccccccccc
c1(ccncn1)[C@H](C)C(C(=C)/C(=C\CF)/F)Cn1ncnc1	C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	C[C@H]1C1C(Cnn1c1ccccccccccccccccccccccccccccccccFc
c1c(cccc1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F	OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F
O=C(NCC)C(=O)NC1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C	OC[C@H]1O[C@@H](NC(=O)C(=O)NC2CC2)[C@H](O)[C@@H](O)[C@@H]1O	CC(C)=OCC(=O)N[C@H]1[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C@@OOOOO
c1(C2=CC/C(=C\C=C/C)/N2)cccc(n1)C1CCCCC1	NC(=N)c1ccc2[nH]c(cc2c1)c1cccc(n1)C1(O)CCCCC1	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
C(=C\CBr)\C(=C)C(=O)NC1(C(=O)NCC#N)CCCCC1	Nc1cc(Br)ccc1C(=O)NC1(CCCCC1)C(=O)NCC#N	OC(=O)CCcccc(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
OCCN(C)CCCOC1=C/C(=N/C)/C(=C/NC/C=C(/Cl)\C(=C)Sc2nccn2C)/C=C1OC	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(cnc2cc1OCCCN(C)CCO)C#N	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(cnc2cc1OCCCN(C)CCO)C#N
C(=C\C=C(\Cl)/C)/N=C(\N)/CNCC(=O)O	OC(=O)CNC(=O)c1nc2cc(Cl)c(Cl)cc2[nH]1	OC(=O)CNC(=O)c1nc2cc(Cl)ccc2cn1
NCCCOc1ccc(cc1)/C(=C/C=C)/C	ONC(=O)CCOc1ccc(cc1)c1ccc(cc1)C#N	C(Oc1ccc(cc1)c1ccccc1)C(=O)NCc1ccc
C[C@@H](CNCc1ccncc1)O[C@@H](N(C(=O)/N=C\C)C)CO	Nc1ccn([C@@H]2O[C@H](CNC(=O)c3ccncc3)[C@@H](O)[C@H]2O)c(=O)n1	Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OCC3CCc(ccccccccccccccccccc
C/C=C\C=C/C/C=C(\C)/C(=C/N=C(N)N)/C	Cc1c(ccc2nc(N)nc(N)c12)c1ccccc1	Cc1ccccccccccccccccccccccccccccc
FC(F)(F)CN(CC(F)(F)F)/C/1=C/C=C/NC/C=C\C=C1	FC(F)(F)CN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(c2c1)C(F)(F)F	FC(F)(F)CN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(c2c1)C(F)(F)F
N(=C\C)\C=C(\C)/CCS(=O)(=O)NCCCN	O=S(=O)(N1CCCNCC1)c1cccc2cnccc12	O=S(=O)(N1CCCNCC1)c1cccc2cnccc12
C(=O)C(C)NCC(=C)/C(=C(\C=C)/C(F)F)/Cl	CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C=O	CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C=O
C/C=C\C=C(/C)\COC(Cn1cncc1)/C(=C/C)/C	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	O=C(c1nc2ccccc2[nH]1)c1ccc(OCC2
c1c(c(nc(c1Oc1ccnc(Nc2cc(O)c(cc2)OC)c1)c1ccccn1)C)C	COc1cc(Nc2cc(Oc3cc(C)c(C)nc3c3ccccn3)ccn2)cc(OC)c1OC	COc1cc(Nc2cc(Oc3cc(C)c(C)nc3c3ccccn3)ccn2)cc(OC)c1OC
NO/N=C(\CN)/CN1CCN(CC1)CCN=C	Nc1nonc1C(=O)N1CCN(Cc2ccccn2)CC1	Nc1nonc1C(=O)N1CCN(Cc2ccccn2)CC1
C(=C\C)(/C=N/N/C(=N\N=C)/c1cc(ccc1)NC(=O)C)\C=C	CN(C(=O)C)c1cccc(c1)c1nnc2ccc(nn12)c1ccccc1	CC(=O)Nc1nc(c([nH]1)c1ccc2nccnc2c1)c1ccc(F)c(C)n1
C=C(Cl)/C=C(/C(=C)OC(CCCC)C)\C(=C)NC=O	CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O	CC1(CcC(CccccccccccccccCccCcCCCCCCCc
C(Cl)/C=C\C(=C)C(=O)n1c(c(CC)c2ccccc12)C	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1	OC(=O)c1cc(ccc1Cl)c1cccc(c1)Ccccccccccccc
C=C(Cl)/C=c\1/cc([nH]c1=C)CNCCOCCOCCNCc1[nH]c2c(c1)cc(cc2)Cl	Clc1ccc2[nH]c(cc2c1)C(=O)NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1	Clc1ccc2[nH]c(cc2c1)C(=O)NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1
C(C(=O)Nc1ccccc1)CNC(=O)NCCOC(=C)/C=C\CCC(C(=O)O)C(=O)O	Cc1nc2ccc(NC(=O)CCNC(=O)NCCOc3ccc(CC(C(=O)O)C(=O)O)cc3)cc2s1	OC(=O)C(=O)N(Cc1ccc(Cl)c(NC(=O)CC(=O)O)cc1O)c1cccCcccCCCCC)CC
C=C/C=C/S(=O)(=O)c1ccc(cc1)CNC(=O)C1=CN/C(=C\C=C)/C=C1	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3cccn3c2)cc1	O=C(NCc1ccc(cc1)S(=O)(=O)c1ccccc1)c1cc2cnccc2[nH]1
C1(=C(CC[C@H](C1)C(=O)O)C)NC	OC(=O)[C@@H]1CCc2c(C1)[nH]c1ccc(Cl)cc21	C[C@]12CC[C@H]3[C@@H](CC==CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
C(=C\1/C(=N)C(=CCC1)N(CCO)N=C)/N=C/Nc1c(ccc(c1)NCCNCC)OC(F)F	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(=O)N)c1	FC(F)(F)Oc1ccc(NC(=O)N(Cc2cccc(c2)c2nccccccccccCCCCCCCCCCCCCCC
c1c(c(cc(c1N(C)C(=C)/C(=C\C/C=N\C(=N/CN)\N)/Cl)N)C)C	Cc1cc2nc(c3nccs3)n(c3cc4nc(N)nc(N)c4cc3Cl)c2cc1C	CN(c1cnc2nc(N)nc(N)c12)c1cc(Cl)cc(c1)c1cccc(c1)C#N
C=C/C=C/Cc1c(c(=O)[nH]c(=O)n1COCC)C(C)C	CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O	CCOC(=O)c1c(C)nn(c1C)c1ccc(cc1)[N+](=O)[O-]
C12C(NCN1)CS[C@H]2CCCCCc1cn(CCCCn2c(=O)oc3ccccc23)nn1	Cc1ccc2oc(=O)n(CCCCn3cc(CCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)nn3)c2c1	Cc1cc2ccccc2C(=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCc2cccccc22nnc1c
CCNC(=O)/C=C\c1cc2CCCCCCNc2cc1	CCn1c2cc3N[C@@H]4CCCC[C@@H]4c3cc2c(cc1=O)C(F)(F)F	CC(=O)c1cccc(c1)c2cCCCCCCCCcccCcCCCCCCCc
C1/C(=C/CSN/C(=C/C=C(/Cl)\C)/C)/C(=C\C)/CCN1	OCC1Cc2ccc(cc2CN1)S(=O)(=O)Nc1ccc(Cl)cc1	Clc1ccc(NS(=O)(=O)c2ccc3CCNCc3c2)cc1
c12c(cc(cc2)Br)C(=CNc2ccc(cc2)CN(C)C)C(=O)NC1	Brc1ccc2C(=O)NC(=O)C(=CNc3ccc(CN4CCCC4)cc3)c2c1	CN1CC2=C([C@H](NC(=O)N2c2cccc(c2)C(=O)c2ccccc12)C(=O)c1cc
c1(/N=C\N)ccc([nH]1)CCCCC/C=C\C(=C/C)\C(=O)N[C@@H](CCC(=O)O)C(=O)O	Nc1nc2[nH]c(CCCCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	OC(=O)CC[C@H](NC(=O)c1ccc(CNC(=O)c2ccc(Nc3nnccc3c3ccc(c)cc)))c))))))))
c1cc(OC)c(C(=C)/C(=C\C/C=N\C(=N)N)/C)cc1C=O	CCOc1ccc(C=O)cc1c1cc2nc(N)nc(N)c2cc1C	COc1cc2cccc(ccccccccccccccccccccccccccccc
N1(S(=O)(=O)C/C=C(\C(=C/C)\OCC)/c2nc(c(N(N)C)c(=O)[nH]2)CC)CCN(C)CC1	CCCc1nn(C)c2c1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(C)CC1	CCCCCCn1c(Cc2cc(OC)c(cccc(c)cc)c)c))))))))))()))O))C)CCOCCCCCCC
O=C(N)C/C=C(\C=N)/C(=C)SCNC/N=C\C=C(/C)\N1CCOCC1	NCCNC(=O)c1cncc(c1)c1cnc(Nc2cc(ccn2)N2CCOCC2)s1	NCCNC(=O)c1cncc(c1)c1cnc(Nc2cc(ccn2)N2CCOCC2)s1
N=S/C=C/C=C(/N1CCN(C[C@@H]1C#CC)S(=O)(=O)c1ccc(N)nc1)\C=C	CC#C[C@H]1CN(CCN1c1ccc(cc1)[S@](=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC#C[C@H]1CN(CCN1c1ccc(cc1)S(=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1
OP(=O)(O)OP(=O)(OCC(C)OC(C)n1cnc(c1)/C(=N\C=N)/N)O	Nc1ncnc2n(cnc12)C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	Nc1ncnc2n(cnc12)c1cc(OC)OP(OO)(OOOO(((OOO(O()O))O)O)COOCOOOO)C
C=C/C=C\C=C(/O)\CCNCC(=O)O	OC(=O)CNC(=O)c1ncc2c(I)cccc2c1O	OC(=O)CNC(=O)c1nc(Cl)c2ccccc2c1O
C(CC)C(=N)N1/C(=C/C)/CNC(=N1)/C(=C/CS(=O)NCCN(CC)CC)/C(=C)OCC	CCCc1nc(C)c2n1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	CCc1nc(N)nc(N)c1c1ccc2c(c1)n(CCCOC)c1cC(CcCCCCCCCCCCCCCCCCCCCCC
N/C(=C\c1cnc[nH]c1=O)/CCC/C=C/C(=C\S)/CN[C@@H](CCC)C(=O)O	Nc1nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
C1(=O)CC(CN1C1CCCCC1)CNc1cc(ccc1)Cl	Cc1ccc(Cl)cc1NC(=O)C1CN(C2CCCCC2)C(=O)C1	Clc1ccc(Cl)cc1NC(=O)NC12CC3CC(CC(C3)C1)C2
C(C(C(O)CO)n1cnc(C(=N)N)c1)C	Nc1ncnc2n(cnc12)C1CC(O)C(O)C1O	Nc1ncnc2n(cnc12)C1CC(O)C(O)C1O
N(/C(=C/C=N\C)/C)/C(=N/C=N)/CN/C=C(\C)/C=C/C=C	N(c1ccncc1)c1ncnn2cc(cc12)c1ccccc1	Nc1nccc(n1)c1c(ncn1C1cccccccccccccccccccc
C/C=C\C=C\CCCC(=O)N1[C@@H](CCC1)CN1CCCC1	O=C(CCCc1ccccc1)N1CCC[C@H]1C(=O)N1CCC[C@H]1C#N	O=C(CCCc1ccccc1)N1CCC[C@H]1C(=O)N1CCC[C@H]1C#N
c1ccc(/C(=C(\CN)/C(=N\C=N\C(=C)C(=O)N2CCOCC2)/C)/N)cc1	Cc1nc2nc(cn2c(c1CN)c1ccc(Cl)cc1Cl)C(=O)N1CCOCC1	COc1cc(cc(c1)c1ccccc1)cccccccCCCCCCCCcccccccc
N=C(C)c1cccc(C(C)NC(=O)Nc2cc(c(cc2)Cl)C(=O)N)c1	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Cl)c(c1)C(=O)N	Cc1cc(C)ccc1NC(=O)Nc1cc(Cl)cc(NC(=O)N)c1C
c1c(Cl)c(c2noc(C(C)C)c2CO/C(=C/C=C/C/C=C(/SC)\CCC)/C)c(cc1)Cl	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(csc2c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(csc2c1)C(=O)O)c1c(Cl)cccc1Cl
Cl/C(=C/CCCCCO)/C(=C\C)/Cl	OC(=O)C1CC1C(=O)c1ccc(Cl)c(Cl)c1	OC(=O)c1cc(CCc2ccc(Cl)cc2)c[nH]1
C1[C@H](O)C2C(C1)[C@H]1[C@H](CC2)CCCCCCCC1	C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O	CC1@][C@H]CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
C(=C\C(=C/C)\C(C)CNCC/C=C\C)\C	O=C(N[C@H]1C[C@@H]1c1ccccc1)c1ccc(cc1)C#N	CC(@HHC(Cc(ccccccccccccccccccccccccc
c12N=C(NCc1cccc2)CCC(=O)NCCc1ccccc1	COC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1nc2ccccc2c(=O)[nH]1	N[C@@H](CC(=O)N1Cc2ccccc2C[C@H]1c1ccccccccccccccccccc
c1(C(F)(F)F)cccc(c1)N1CN[C@@H](C(=C1C)C(=O)C)/C(=C/C=C(/C)\N)/C	CC(=O)C1=C(C)N(C(=O)N[C@@H]1c1ccc(nc1)C#N)c1cccc(c1)C(F)(F)F	CC(=O)C1=C(C)N(C(=O)N[C@@H]1c1ccc(nc1)C#N)c1cccc(c1)C(F)(F)F
ON(=O)C/C(=C\CNCCCOc1ccc(F)cc1)/C(F)(F)F	C[C@](O)(COc1ccc(F)cc1)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]	OC(c1ccc(cc1)N(CC(F)(F)F)[N+](=O)[O-])C(F)(F)c1cc(Cl)cc(OC)c1
N(C)/C=N/C(=N\C(=C)N/C(=C/C=C)/C=C)/C#N	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	CN(C)c1nc(nc(n1)c1cccn1c1ccccc1)N(C)C
OCCO[C@@H](N1/C(=C/CCl)/CN=C1)CCO	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2cc(Cl)c(Cl)cc12	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cccClcccccccccccc
C(=N\C=N/C(=C)N)/N(C1O[C@@H](C[C@H]1O)CNC)C(=N)C	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12
c1(O)cc(C[C@H](O)[C@H]([C@H](O)[C@H](O)C)O)ccc1	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)cc(Cl)c1O	OC[C@H]1O[C@@H](NC(=O)C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O
FC(F)C1=CCNC(=C1)/C=C/1\CCC[C@H](N1)C	CC[C@H]1C[C@@H](C)Nc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CCCCc1c([nH]c2nccnc12)c1ccc(F)cc1
C1=C(C(C2CCC(CCCCC2C)C)CCC1=O)C	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O
C1(=O)[C@H](C[C@@H]([C@H](N1CC1CC1)/C(=C/C)/C=C\C)c1ccccc1)CC(=O)O	OC(=O)C[C@H]1C[C@@H]([C@H](N(CC2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1	OC(=O)C[C@H]1C[C@@H]([C@H](N(CC2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
O/C=C(\C=O)/C(=C)OC/C=C/C(=C)/C=C(\C(=C)F)/C(=C/C(=N)CO)/O	COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(c1)c1cc(no1)C(=O)O	COc1cc(ccc1Oc1ccccc1)C(=O)OOOOccccccccccccOccO
C(=C(\N)/C=C\C=C\S(=O)/C=C/C(=C\CC)/C)\C	Cc1cc(C)cc(c1)S(=O)(=O)c1cccc(N)c1C#N	Cc1ccc(cc1)S(=O)(=O)cccccccccccccccc
C(=C\C=C/CC#Cc1oc(C(=O)Sc2[nH]cnn2)cc1)\C	FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1	CC#C[C@H]1Cc1cc(nc(N)n1)c1ccc2c(N)[nH]nc2c1CC(O)C(=O)O
c1(ccccc1)C(c1ccccc1)CCNC(=O)C	O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1	O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1
